Record_ID	Name	tax_class	family	genus	timestamp
87	ehbv-avi.74-Opisthocomus_hoazin	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
88	ehbv-avi.75-pscittaciformes	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
89	ehbv-avi.76-Suliformes	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
90	ehbv-avi.77-Eurypyga_helias	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
91	ehbv-avi.86-Athene_cunicularia	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
92	ehbv-avi.87-Falco_cherrug	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
93	ehbv-avi.88-Falco_peregrinus	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
94	ehbv-avi.89-Ara	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
95	ehbv-avi.90-Gallirallus_okinawae	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
96	ehbv-avi.91-Psittacula_krameri	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
97	ehbv-avi.92-Uria_lomvia	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
98	ehbv-avi.93-Balearica_regulorum	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
99	ehbv-avi.94-Gallirallus_okinawae	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
100	ehbv-avi.95-Nannopterum_brasilianus	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
101	ehbv-avi.96-Serinus_canaria	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
102	ehbv-avi.97-Callipepla_squamata	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
103	ehbv-avi.98-Agapornis_roseicollis	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
104	ehbv-avi.99-Tyto_alba	DNArt	Hepadnaviridae	Avihepadnavirus	2023-09-19 12:14:19
105	ehbv-hepadnaviridae.1-Callorhinchus	DNArt	Hepadnaviridae	Hepadnaviridae	2023-09-19 12:14:19
106	ehbv-herpeto.1-serpentes	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
107	ehbv-herpeto.10-EleCoq	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
108	ehbv-herpeto.2-serpentes-con	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
109	ehbv-herpeto.3-crocodilia	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
110	ehbv-herpeto.4-crocodilia	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
111	ehbv-herpeto.5-testudines	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
112	ehbv-herpeto.6-varanus	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
113	ehbv-herpeto.7-serpentes-con	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
114	ehbv-herpeto.8-serpentes-con	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
115	ehbv-herpeto.100-Sceloporus	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
116	ehbv-herpeto.12-Sceloporus	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
117	ehbv-herpeto.13-Sceloporus	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
118	ehbv-herpeto.14-Sceloporus	DNArt	Hepadnaviridae	Herpetohepadnavirus	2023-09-19 12:14:19
119	ehbv-meta.1-sauria-con	DNArt	Hepadnaviridae	Metahepadnavirus	2023-09-19 12:14:19
120	ehbv-meta.2-varanus	DNArt	Hepadnaviridae	Metahepadnavirus	2023-09-19 12:14:19
121	ehbv-meta.3-paroedura	DNArt	Hepadnaviridae	Metahepadnavirus	2023-09-19 12:14:19
122	ehbv-meta.4-pelusios	DNArt	Hepadnaviridae	Metahepadnavirus	2023-09-19 12:14:19
123	ehbv-meta.5-pelusios	DNArt	Hepadnaviridae	Metahepadnavirus	2023-09-19 12:14:19
124	eve-complex.24-Otaridae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
125	ecv-circo.1-passeriformes-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
126	ecv-circo.10-Pionus_senilis	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
