Record_ID	Name	tax_class	family	genus	timestamp
252	ecv-cress.4-Eptatretus_burgeri	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
253	ecv-cress.5-Eptatretus_burgeri	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
254	ecv-cress.6-Eptatretus_burgeri	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
255	ecv-cress.7-Eptatretus_burgeri	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
256	eve-complex.24-Mustelidae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
257	epv-amdo.1-EllLut	DNAss	Parvoviridae	Amdoparvovirus	2023-09-19 12:14:19
258	epv-amdo.101-ProMuc	DNAss	Parvoviridae	Amdoparvovirus	2023-09-19 12:14:19
259	epv-amdo.102-Heterohyrax_brucei	DNAss	Parvoviridae	Amdoparvovirus	2023-09-19 12:14:19
260	epv-amdo.105-Ptyas_mucosa	DNAss	Parvoviridae	Amdoparvovirus	2023-09-19 12:14:19
261	epv-amdo.2-EllLut	DNAss	Parvoviridae	Amdoparvovirus	2023-09-19 12:14:19
262	epv-dependo.0-macropus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
263	epv-dependo.1-whippomorpha	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
264	epv-dependo.12-orycteropus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
265	epv-dependo.121-Apodemus_sylvaticus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
266	epv-dependo.124-Cavia_tschudii	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
267	epv-dependo.125-Chinchilla_lanigera	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
268	epv-dependo.126-Cricetulus_griseus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
269	epv-dependo.127-Cricetulus_griseus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
270	epv-dependo.128-Dolichotis_patagonum	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
271	epv-dependo.129-Ctenomys_sociabilis	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
272	epv-dependo.13-cercopithecidae	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
273	epv-dependo.130-Heterocephalus_glaber	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
274	epv-dependo.131-Heterocephalus_glaber	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
275	epv-dependo.132-Mesocricetus_auratus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
276	epv-dependo.133-Muscardinus_avellanarius	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
277	epv-dependo.14-cercopithecidae	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
278	epv-dependo.15-colobus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
279	epv-dependo.160-gymnobelideus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
280	epv-dependo.166-Macropus_eugenii	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
281	epv-dependo.168-Macropus_eugenii	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
282	epv-dependo.170-Antechinus_stuartii	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
283	epv-dependo.171-Thylacine_cynocephalus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
284	epv-dependo.172-Bettongia_penicillata	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
285	epv-dependo.173-Bettongia_penicillata	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
286	epv-dependo.174-PipPip	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
287	epv-dependo.177-Heterohyrax_brucei	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
288	epv-dependo.178-Procavia_capensis	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
289	epv-dependo.180-rhinolophus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
290	epv-dependo.182-Artibeus_jamaicensis	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
291	epv-dependo.183-Lasiurus_cinereus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
292	epv-dependo.184-Macrotus_californicus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
293	epv-dependo.185-Pteropus_alecto	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
294	epv-dependo.186-Pteropus_vampyrus	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
295	epv-dependo.187-Rhinolophus_ferrumequinum	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
296	epv-dependo.188-Rhinolophus_ferrumequinum	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
297	epv-dependo.193-SarHar	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
298	epv-dependo.194-Mormoops_blainvillei	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
299	epv-dependo.195-Mormoops_blainvillei	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
300	epv-dependo.2-vespertilionidae	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
301	epv-dependo.20-laurasiatheria	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
302	epv-dependo.201-thamnophis	DNAss	Parvoviridae	Dependoparvovirus	2023-09-19 12:14:19
