species_group	species	assembly_version
Mammalia	Crocidura_indochinensis	CroInd_v1_BIUU	
Mammalia	Odobenus_rosmarus	marinemamm_1.0_april_2013	
Mammalia	Tupaia_tana	TupTan_v1_BIUU	
Mammalia	Pteronura_brasiliensis	PteBra_v1_BIUU	
Mammalia	Cephalophus_harveyi	Cep_har	
Mammalia	Glaucomys_volans	Gla_vol	
Mammalia	Peromyscus_maniculatus_bairdii	1.0	
Mammalia	Theropithecus_gelada	Tgel_1.0	
Mammalia	Cebus_capucinus	Cebus_imitator-1.0	
Mammalia	Monodelphis_domestica	goldenpath_monDom5	
Mammalia	Myotis_myotis	GCA_014108235.1_08-2020	
Mammalia	Tolypeutes_matacus	TolMat_v1	
Mammalia	Equus_zebra_hartmannae	Henan_16MAR2017	
Mammalia	Galeopterus_variegatus	G-variegatus_3.0.2_apr_2015	
Mammalia	Martes_zibellina	ASM1258336v1	
Mammalia	Sarcophilus_harrisii	ensembl_79_DEVIL7.0	
Mammalia	Cebus_albifrons	CebAlb_v1_BIUU	
Mammalia	Acinonyx_jubatus	aciJub1	
Mammalia	Balaenoptera_acutorostrata	Bal_acu	
Mammalia	Apodemus_speciosus	Aspe_assembly01	
Mammalia	Dugong_dugon	Dug_dug	
Mammalia	Nasalis_larvatus	goldepath_nasLar1_2015-12	
Mammalia	Ursus_americanus	GCA_003344425.1_ASM334442v1	
Mammalia	Felis_catus	goldenpath_felCat5	
Mammalia	Muntiacus_reevesi	CIJ	
Mammalia	Peromyscus_polionotus_subgriseus	HU_Ppol_1.3	
Mammalia	Sapajus_apella	GSC_monkey_1.0	
Mammalia	Equus_caballus_Icelandic	Henan_EquCab2_17Aug	
Mammalia	Plecturocebus_donacophilus	CalDon_v1_BIUU	
Mammalia	Papio_anubis	ensembl_79_PapAnu2.0	
Mammalia	Lemur_catta	2015-06-26	
Mammalia	Arvicola_amphibius	Arv_amp	
Mammalia	Neomonachus_schauinslandi	ASM220157v1	
Mammalia	Cryptotis_parvus	Cry_par	
Mammalia	Hylomyscus_alleni	Hyl_all	
Mammalia	Marmota_marmota_marmota	marMar2.1	
Mammalia	Choloepus_hoffmanni	goldenpath_choHof1	
Mammalia	Litocranius_walleri	GRK	
Mammalia	Pantholops_hodgsonii	PHO1.0	
Mammalia	Odocoileus_hemionus	GCA_003697985.1	
Mammalia	Sarcophilus_harrisii	goldenpath_sarHar1	
Mammalia	Lynx_canadensis	LynCan4_v1	
Mammalia	Mesoplodon_bidens	MesBid_v1	
Mammalia	Microcebus_tavaratra	Mtav_1.0	
Mammalia	Lepus_americanus	LepAme_v1_BIUU	
Mammalia	Capra_hircus	iggc_1.0_april_2013	
Mammalia	Hipposideros_armiger	ASM189008v1	
Mammalia	Bos_grunniens	bbu_UMD_2015-05-14	
Mammalia	Typhlomys_cinereus	KIZ_TCIN_v1	
Mammalia	Cervus_canadensis	Cer_can	
Mammalia	Dicerorhinus_sumatrensis_sumatrensis	ASM284483v1	
Mammalia	Hippotragus_equinus	Hip_equ	
Mammalia	Manis_pentadactyla	GCA_000738955.1	
Mammalia	Ursus_arctos_horribilis	ASM358476v1	
Mammalia	Otolemur_garnettii	goldenpath_otoGar3	
Mammalia	Connochaetes_taurinus	BWD	
Mammalia	Cervus_hanglu_yarkandensis	Cer_han	
Mammalia	Dolichotis_patagonum	DolPat_v1	
Mammalia	Lepus_timidus	GCA_009760805	
Mammalia	Beatragus_hunteri	BeaHun_v1_BIUU	
Mammalia	Rousettus_leschenaultii	GCA_015472975.1_10-2020	
Mammalia	Mustela_furo	goldenpath_musFur1	
Mammalia	Castor_canadensis	CasCan_v1	
Mammalia	Helogale_parvula	HelPar_v1_BIUU	
Mammalia	Budorcas_taxicolor	Bud_tax	
Mammalia	Ovis_aries	Oar_rambouillet_v1.0	
Mammalia	Eubalaena_japonica	Eub_jap	
Mammalia	Ornithorhynchus_anatinus	goldenpath_ornAna1_2007-03	
Mammalia	Pseudois_nayaur	ASM318257v1	
Mammalia	Solenodon_paradoxus_woodi	ASM290108v1	
Mammalia	Megaptera_novaeangliae	megNov1	
Mammalia	Bos_mutus	v2.0	
Mammalia	Puma_concolor	GCF_003327715.1_PumCon1.0	
Mammalia	Loxodonta_africana	goldenpath_loxAfr3	
Mammalia	Procapra_przewalskii	PLG	
Mammalia	Hipposideros_galeritus	HipGal_v1	
Mammalia	Scalopus_aquaticus	ScaAqu_v1	
Mammalia	Ursus_thibetanus_thibetanus	ASM966005v1	
Mammalia	Equus_ferus_thistlecreek	Henan_EquCab2_Jun30	
Mammalia	Xerus_inauris	XerIna_v1_BIUU	
Mammalia	Daubentonia_madagascariensis	broad_1.0_oct_2012	
Mammalia	Lama_glama	ASM1323958v1	
Mammalia	Phodopus_sungorus	Psun0.5	
Mammalia	Alouatta_palliata	AloPal_v1_BIUU	
Mammalia	Pteronotus_parnellii	ncbi_AWGZ00000000.1_2015-05	
Mammalia	Tachyglossus_aculeatus	Tac_acu	
Mammalia	Enhydra_lutris	ASM228890v2	
Mammalia	Mandrillus_leucophaeus	Mleu.le_1.0	
Mammalia	Eidolon_helvum	GCA_000465285.1	
Mammalia	Moschus_berezovskii	NPU_MBRE_1.0	
Mammalia	Tupaia_belangeri	goldenpath_tupBel1	
Mammalia	Murina_aurata_feae	MurFea_v1	
Mammalia	Nycticebus_coucang	NycCou_v1_BIUU	
Mammalia	Microtus_agrestis	ASM130599v1	
Mammalia	Addax_nasomaculatus	Add_nas	
Mammalia	Bos_taurus	goldenpath_bosTau7	
Mammalia	Mus_spretus	SPRET_EiJ_v1	
Mammalia	Procavia_capensis	goldenpath_proCap1	
Mammalia	Hyaena_hyaena	HyaHya_v1	
Mammalia	Eumetopias_jubatus	ASM402803v1	
Mammalia	Bison_bison	ncbi_UMD1_2015-05-14	
Mammalia	Cryptoprocta_ferox	CryFer_v1_BIUU	
Mammalia	Orcinus_orca	ncbi_ANOL02_jan_2013	
Mammalia	Ziphius_cavirostris	ZipCav_v1_BIUU	
Mammalia	Ornithorhynchus_anatinus	mOrnAna1	
Mammalia	Cercopithecus_albogularis	Cer_alb	
Mammalia	Gracilinanus_agilis	Gra_agi	
Mammalia	Platanista_minor	PlaMin_v1_BIUU	
Mammalia	Mus_musculus	goldenpath_mm10	
Mammalia	Mellivora_capensis	Mel_cap	
Mammalia	Crocuta_crocuta	CrCroc_1.0	
Mammalia	Zalophus_californianus	zalCal2.2	
Mammalia	Artibeus_jamaicensis	GCA_014825515.1_09-2020	
Mammalia	Erinaceus_europaeus	ensembl_79_HEDGEHOG	
Mammalia	Leptonychotes_weddellii	broad_1.1_april_2013	
Mammalia	Micronycteris_hirsuta	MicHir_v1	
Mammalia	Ceratotherium_simum_cottoni	CerCot_v1_BIUU	
Mammalia	Balaenoptera_physalus	Bal_phy	
Mammalia	Eira_barbara	Eir_bar	
Mammalia	Phocoena_phocoena	GCA_003071005	
Mammalia	Hippopotamus_amphibius	ASM299558v1	
Mammalia	Inia_geoffrensis	IniGeo_v1_BIUU	
Mammalia	Gorilla_gorilla	goldenpath_gorGor3	
Mammalia	Oryx_gazella	GMB	
Mammalia	Pipistrellus_pipistrellus	PipPip_v1	
Mammalia	Sciurus_carolinensis	mSciCar1.1	
Mammalia	Equus_caballus_connemara	Henan_EquCab2_17Aug	
Mammalia	Rhizomys_pruinosus	RhiPru_v1_BIUU	
Mammalia	Tonatia_saurophila	TonSau_v1_BIUU	
Mammalia	Megaderma_lyra	ncbi_AWHB00000000.1_2015-05	
Mammalia	Ateles_hybridus	Ate_hyb	
Mammalia	Cynomys_gunnisoni	Cyn_gun	
Mammalia	Ictidomys_tridecemlineatus	ensembl_79_spetri2	
Mammalia	Hystrix_brachyura	Hys_bra	
Mammalia	Tursiops_aduncus	ASM322739v1	
Mammalia	Condylura_cristata	broad_ConCri1.0	
Mammalia	Physeter_catodon	2.0.2	
Mammalia	Sorex_araneus	goldenpath_sorAra2	
Mammalia	Macrotus_californicus	MacCal_v1_BIUU	
Mammalia	Microgale_talazaci	MicTal_v1_BIUU	
Mammalia	Mirza_zaza	Mzaz_1.0	
Mammalia	Balaenoptera_bonaerensis	ASM97880v1	
MammaliaMammalia	low_coverage	
Mammalia	Ceratotherium_simum	goldenpath_cerSim1	
Mammalia	Mirza_coquereli	MizCoq_v1_BIUU	
Mammalia	Cercocebus_atys	ncbi_100_2015	
Mammalia	Acomys_dimidiatus	Aco_dim	
Mammalia	Cheirogaleus_medius	Che_med	
Mammalia	Hippotragus_niger_niger	Hip_nig	
Mammalia	Callorhinus_ursinus	ASM326570v1	
Mammalia	Hylobates_moloch	Hyl_mol	
Mammalia	Miniopterus_natalensis	Mnat.v1	
Mammalia	Vombatus_ursinus	WM_v1.0	
Mammalia	Ovis_aries	goldenpath_oviAri3	
Mammalia	Damaliscus_lunatus	CTB	
Mammalia	Erythrocebus_patas	EryPat_v1	
Mammalia	Lutra_lutra	mLutLut1.1	
Mammalia	Ellobius_lutescens	ASM168507v1	
Mammalia	Cavia_tschudii	CavTsc_v1_BIUU	
Mammalia	Pteropus_pselaphon	GCA_014363405.1_08-2020	
Mammalia	Myotis_brandtii	ncbi_100_2013	
Mammalia	Equus_burchellii_quagga	Henan_16MAR2017	
Mammalia	Hydrochoerus_hydrochaeris	HydHyd_v1_BIUU	
Mammalia	Capra_ibex	Cap_ibe	
Mammalia	Eudorcas_thomsonii	Eud_tho	
Mammalia	Orycteropus_afer	broad_v0_2012	
Mammalia	Myodes_glareolus	ASM436859v1	
Mammalia	Camelus_bactrianus	MBC_1.0	
Mammalia	Arctocephalus_gazella	ArcGazv1.4	
Mammalia	Macaca_mulatta	goldenpath_rheMac3	
Mammalia	Przewalskium_albirostris	WLD	
Mammalia	Semnopithecus_entellus	SemEnt_v1	
Mammalia	Equus_grevyi	Henan_16MAR2017	
Mammalia	Catagonus_wagneri	CatWag_v1_BIUU	
Mammalia	Elephantulus_edwardii	broad_1.0_april_2013	
Mammalia	Bradypus_variegatus	BraVar_v1_BIUU	
Mammalia	Rhinolophus_ferrumequinum	ncbi_AWHA00000000.1_2015-05	
Mammalia	Trachypithecus_francoisi	Tfra_2.0	
Mammalia	Psammomys_obesus	ASM221593v1	
Mammalia	Dasyurus_viverrinus	Das_viv	
Mammalia	Equus_caballus	goldenpath_equCab2_Dec13	
Mammalia	Moschus_chrysogaster	NPU_MCHR_1.0	
Mammalia	Tursiops_truncatus	goldenpath_turTru2	
Mammalia	Muscardinus_avellanarius	MusAve_v1	
Mammalia	Panthera_leo	UCSF_Mcou_1	
Mammalia	Cricetulus_griseus	CHO-K1-v1	
Mammalia	Onychomys_torridus	OnyTor_v1_BIUU	
Mammalia	Mus_musculus	goldenpath_mm9	
Mammalia	Saguinus_imperator	SagImp_v1_BIUU	
Mammalia	Fukomys_damarensis	ncbi_1.0_2014	
Mammalia	Ailurus_fulgens	Ail_ful	
Mammalia	Meriones_unguiculatus	MunDraft-v1.0	
Mammalia	Neovison_vison	NNQGG.v01	
Mammalia	Canis_familiaris	goldenpath_canFam3	
Mammalia	Globicephala_melas	ASM654740v1	
Mammalia	Myodes_glareolus	ASM130578v1	
Mammalia	Pteropus_vampyrus	goldenpath_pteVam1	
Mammalia	Antrozous_pallidus	AntPal_v1_BIUU	
Mammalia	Lagenorhynchus_obliquidens	ASM367639v1	
Mammalia	Microcebus_griseorufus	Mgri_1.0	
Mammalia	Graphiurus_murinus	GraMur_v1_BIUU	
Mammalia	Bubalus_bubalis	ncbi_100_2015-05-14	
Mammalia	Cuniculus_paca	CunPac_v1_BIUU	
Mammalia	Pteropus_alecto	broad_1.0_april_2012	
Mammalia	Cercopithecus_mona	Cer_mon	
Mammalia	Grammomys_dolichurus	Gra_dol	
Mammalia	Eulemur_macaco	Emacaco_refEf	
Mammalia	Ochotona_princeps	goldenpath_ochPri3	
Mammalia	Syncerus_caffer	GCA_006408785_ABF	
Mammalia	Potos_flavus	Pot_fla	
Mammalia	Cricetomys_gambianus	CriGam_v1	
Mammalia	Erethizon_dorsatum	GSC_porc_1.0	
Mammalia	Acomys_cahirinus	AcoCah_v1_BIUU	
Mammalia	Tadarida_brasiliensis	GCA_004025005.1_01-2019	
