species_group	species	assembly_version
Mammalia	Lipotes_vexillifer	ncbi_100_2014-04-27	
Mammalia	Chaetophractus_vellerosus	ChaVel_v1_BIUU	
Mammalia	Bettongia_penicillata_ogilbyi	Bet_pen	
Mammalia	Elaphurus_davidianus	Ela_dav	
Mammalia	Kogia_breviceps	v1_BIUU	
Mammalia	Apodemus_sylvaticus	GCA_001305905.1	
Mammalia	Heterocephalus_glaber	goldenpath_hetGla2	
Mammalia	Philantomba_maxwellii	MXD	
Mammalia	Pithecia_pithecia	PitPit_v1	
Mammalia	Sciurus_vulgaris	mSciVul1.1	
Mammalia	Equus_caballus_mongolian	GCA_000696655_NCBI	
Mammalia	Tapirus_indicus	TapInd_v1_BIUU	
Mammalia	Tragulus_javanicus	TraJav_v1_BIUU	
Mammalia	Balaenoptera_musculus	Bal_mus	
Mammalia	Dasyprocta_punctata	Das_pun	
Mammalia	Kobus_leche_leche	Kob_lec	
Mammalia	Equus_caballus_fjord	Henan_EquCab2_17Aug	
Mammalia	Cricetulus_griseus	goldenpath_criGri1	
Mammalia	Mandrillus_sphinx	BGI_mandrill_1.0	
Mammalia	Propithecus_coquereli	Pcoq_1.0	
Mammalia	Sus_scrofa	goldenpath_susScr3	
Mammalia	Miniopterus_schreibersii	MinSch_v1	
Mammalia	Mustela_erminea	mMusErm1	
Mammalia	Bos_indicus	Bos_indicus_1.0	
Mammalia	Megaderma_lyra	MegLyr_v1_BIUU	
Mammalia	Chlorocebus_sabaeus	ncbi_100_2014-04-29	
Mammalia	Gymnobelideus_leadbeateri	LBP_v1_scaffolds	
Mammalia	Moschus_moschiferus	MosMos_v1_BIUU	
Mammalia	Chrysochloris_asiatica	broad_ChrAsi1.0_2012	
Mammalia	Acomys_kempi	Aco_kem	
Mammalia	Ammotragus_lervia	NAZ_v1.0	
Mammalia	Dipodomys_ordii	ensembl_79_dipOrd1	
Mammalia	Canis_lupus_dingo	ASM325472v1	
Mammalia	Hylobates_pileatus	Hyl_pil	
Mammalia	Mus_caroli	REL-1509_EiJ	
Mammalia	Pan_troglodytes	goldenpath_panTro4	
Mammalia	Madoqua_kirkii	KDD	
Mammalia	Eulemur_fulvus	EulFul_v1	
Mammalia	Lutra_lutra	riverotter_1.0	
Mammalia	Ellobius_talpinus	ETalpinus_0.1	
Mammalia	Choloepus_didactylus	ChoDid_v1_BIUU	
Mammalia	Callithrix_jacchus	goldenpath_calJac3	
Mammalia	Pteropus_giganteus	GCA_902729225.1_04-2020	
Mammalia	Myotis_davidii	bgi_1.1_april_2013	
Mammalia	Mirounga_angustirostris	MirAng_v1_BIUU	
Mammalia	Caracal_caracal	Car_car	
Mammalia	Galago_moholi	Gal_moh	
Mammalia	Vulpes_vulpes	VulVul2.2	
Mammalia	Capra_aegagrus	CapAeg_1.0	
Mammalia	Macropus_eugenii	goldenpath_macEug2	
Mammalia	Raphicerus_campestris	SNB	
Mammalia	Pipistrellus_kuhlii	GCA_014108245.1_08-2020	
Mammalia	Sigmodon_hispidus	SigHis_v1	
Mammalia	Molossus_molossus	GCA_014108415.1_08-2020	
Mammalia	Equus_hemionus	Henan_21MAR2017	
Mammalia	Eptesicus_fuscus	broad_1.0_april_2013	
Mammalia	Rhinolophus_sinicus	ASM188883v1	
Mammalia	Capromys_pilorides	CapPil_v1_BIUU	
Mammalia	Ursus_maritimus	GAJD01_1.0_june_2013	
Mammalia	Arvicanthis_niloticus	Arv_nil	
Mammalia	Mustela_putorius_furo	goldenpath_musFur1	
Mammalia	Equus_ferus_przewalskii	ncbi_9798_15Dec2014	
Mammalia	Muntiacus_crinifrons	BMJ	
Mammalia	Tupaia_chinensis	TupChi_1.0	
Mammalia	Taxidea_taxus	GCA_003697995	
Mammalia	Vicugna_pacos	goldenpath_vicPac2	
Mammalia	Noctilio_leporinus	NocLep_v1_BIUU	
Mammalia	Pedetes_capensis	PedCap_v1_BIUU	
Mammalia	Equus_asinus_somalicus	Henan_21MAR2017	
Mammalia	Paradoxurus_hermaphroditus	ParHer_v1_BIUU	
Mammalia	Okapia_johnstoni	ASM166083v1	
Mammalia	Homo_sapiens	goldenpath_hg19_2009	
Mammalia	Antechinus_stuartii	Ant_stu	
Mammalia	Chlorocebus_aethiops	Chl_aet	
Mammalia	Cavia_porcellus	goldenpath_cavPor3	
Mammalia	Rattus_norvegicus	goldenpath_rn6	
Mammalia	Lasiurus_borealis	LasBor_v1	
Mammalia	Microcebus_mittermeieri	Mmit_1.0	
Mammalia	Ailuropoda_melanoleuca	ensembl_79_ailMel1	
Mammalia	Heterohyrax_brucei	HetBruBak_v1_BIUU	
Mammalia	Camelus_dromedarius	ncbi_GCF_000767585_2015-05-14	
Mammalia	Dipodomys_stephensi	DipSte_v1_BIUU	
Mammalia	Rhinopithecus_roxellana	ncbi_100_2014-11-18	
Mammalia	Sylvilagus_bachmani	KIZ_TCIN_v1	
Mammalia	Phyllostomus_discolor	mPhyDis1_v1	
Mammalia	Cercopithecus_neglectus	Cer_neg	
Mammalia	Hexaprotodon_liberiensis	Hex_lib	
Mammalia	Prolemur_simus	Prosim_1.0	
Mammalia	Hoolock_leuconedys	Hoo_leu	
Mammalia	Octodon_degus	broad_1.0_july_2012	
Mammalia	Aepyceros_melampus	IMP	
Mammalia	Praomys_delectorum	Pra_del	
Mammalia	Ctenomys_sociabilis	CteSoc_v1	
Mammalia	Kobus_ellipsiprymnus	DFW-scaff	
Mammalia	Anoura_caudifer	AnoCau_v1_BIUU	
Mammalia	Sturnira_hondurensis	GCA_014824575.1_09-2020	
Mammalia	Mesocricetus_auratus	broad_1.1_april_2013	
Mammalia	Diceros_bicornis	DicBicMic_v1_BIUU	
Mammalia	Bos_frontalis	Bos_fro	
Mammalia	Elephas_maximus	Ele_max	
Mammalia	Desmodus_rotundus	GCA_002940915	
Mammalia	Mus_spicilegus	GCA_003336285.1_MUSP714	
Mammalia	Homo_sapiens	goldenpath_hg38	
Mammalia	Eulemur_flavifrons	Eflavifronsk33QCA	
Mammalia	Alces_alces	GSC_moose_1.0	
Mammalia	Rangifer_tarandus	RanTarSib_v1_BIUU	
Mammalia	Equus_caballus_mongolian	GCA_000696655	
Mammalia	Thryonomys_swinderianus	ThrSwi_v1_BIUU	
Mammalia	Halichoerus_grypus	Tufts_HGry_1.1	
Mammalia	Vulpes_lagopus	VulLag_v1_BIUU	
Mammalia	Panthera_tigris_altaica	ncbi_100_2014-03	
Mammalia	Phocoena_sinus	Pho_sin	
Mammalia	Odocoileus_virginianus	Ovir.te_1.0	
Mammalia	Dipodomys_spectabilis	Dip_spe	
Mammalia	Neophocaena_asiaeorientalis	V1	
Mammalia	Lama_guanicoe_cacsilensis	Lam_gua	
Mammalia	Dasypus_novemcinctus	goldenpath_dasNov3	
Mammalia	Monodon_monoceros	NGI_Narwhal_1	
Mammalia	Tarsius_syrichta	goldenpath_tarSyr1	
Mammalia	Neotoma_lepida	ASM167557v1	
Mammalia	Monodon_monoceros	MonMon_v1	
Mammalia	Nanger_granti	GTG-3714	
Mammalia	Cavia_aperea	CavAp1.0	
Mammalia	Myocastor_coypus	MyoCoy_v1_BIUU	
Mammalia	Colobus_angolensis_palliatus	ncbi_100_2015	
Mammalia	Lycaon_pictus	LycPicSAfr1.0	
Mammalia	Panthera_onca	PanOnc_v1_BIUU	
Mammalia	Equus_africanus_asinus	willy_denovo	
Mammalia	Acomys_percivali	Aco_per	
Mammalia	Cervus_elaphus_hippelaphus	Celaphus1.0	
Mammalia	Ailuropoda_melanoleuca	goldenpath_ailMel1	
Mammalia	Mus_castaneus	REL-1509-EiJ	
Mammalia	Papio_anubis	goldenpath_papAnu2	
Mammalia	Ourebia_ourebi	ORB	
Mammalia	Glis_glis	GliGli_v1	
Mammalia	Marmota_monax	MONAX5	
Mammalia	Craseonycteris_thonglongyai	CraTho_v1_BIUU	
Mammalia	Nomascus_leucogenys	ensembl_79_Nleu1.0	
Mammalia	Myotis_lucifugus	goldenpath_myoLuc2	
Mammalia	Oryx_gazella	UCDavis_Ogaz_1	
Mammalia	Chlorocebus_sabaeus	ensembl_79_ChlSab1.1	
Mammalia	Tarsius_syrichta	Car_syr	
Mammalia	Galemys_pyrenaicus	Gal_pyr	
Mammalia	Gulo_gulo	Gulo_2.2	
Mammalia	Capreolus_capreolus	kmer631	
Mammalia	Microcebus_murinus	goldenpath_micMur1	
Mammalia	Redunca_redunca	BHR	
Mammalia	Antidorcas_marsupialis	SGB	
Mammalia	Tamandua_tetradactyla	TamTet_v1	
Mammalia	Equus_kiang	Henan_21MAR2017	
Mammalia	Equus_asinus	univ.copenhagen_willy1_15Dec2014	
Mammalia	Marmota_vancouverensis	VIM_1.0	
Mammalia	Rhinopithecus_bieti	ASM169854v1	
Mammalia	Carollia_perspicillata	CarPer_v1_BIUU	
Mammalia	Ateles_geoffroyi	Ate_geo	
Mammalia	Spermophilus_dauricus	ASM240643v1	
Mammalia	Dromiciops_gliroides	Dro_gli	
Mammalia	Nannospalax_galili	S.galili_v1.0	
Mammalia	Macaca_fuscata	GCA_003118495	
Mammalia	Grammomys_surdaster	NIH_TR_1.0	
Mammalia	Erinaceus_europaeus	goldenpath_eriEur2	
Mammalia	Muntiacus_muntjak	CMJ	
Mammalia	Ondatra_zibethicus	OndZib_v1	
Mammalia	Rhombomys_opimus	ASM1012001v1	
Mammalia	Equus_burchellii_boehmi	Henan_16MAR2017	
Mammalia	Petromus_typicus	PetTyp_v1_BIUU	
Mammalia	Panthera_pardus	PanPar1.0	
Mammalia	Suricata_suricatta	SurSur_v1_BIUU	
Mammalia	Aplodontia_rufa	Apl_ruf	
Mammalia	Colobus_guereza	Col_gue	
Mammalia	Macaca_nemestrina	Mnem_1.0	
Mammalia	Chinchilla_lanigera	broad_v0_2012	
Mammalia	Hydropotes_inermis	NPU_HINE_1.0	
Mammalia	Odocoileus_virginianus	RRL-RSL_1.0	
Mammalia	Marmota_flaviventris	ASM367607v1	
Mammalia	Saimiri_boliviensis	goldenpath_saiBol1	
Mammalia	Macroglossus_sobrinus	MacSob_v1	
Mammalia	Microcebus_ravelobensis	Mrav_1.0	
Mammalia	Ailurus_fulgens	ASM200746v1	
Mammalia	Hystrix_cristata	HysCri_v1_BIUU	
Mammalia	Camelus_ferus	bacsac_1.0_april_2013	
Mammalia	Felis_nigripes	FelNig_v1_BIUU	
Mammalia	Symphalangus_syndactylus	ASM2376113v1	
Mammalia	Cervus_albirostris	Cer_alb	
Mammalia	Hipposideros_pendleburyi	Hip_pen	
Mammalia	Rousettus_aegyptiacus	2.0	
Mammalia	Hydrodamalis_gigas	Hyd_gig	
Mammalia	Urocitellus_parryii	ASM342692v1	
Mammalia	Oryctolagus_cuniculus	goldenpath_oryCun2	
Mammalia	Alcelaphus_buselaphus	HBT	
Mammalia	Prionailurus_iriomotensis	Pri_iri	
Mammalia	Dinomys_branickii	DinBra_v1	
Mammalia	Antilocapra_americana	AntAmePen_v1_BIUU	
Mammalia	Microtus_ochrogaster	broad_1.0_april_2013	
Mammalia	Eonycteris_spelaea	Espe.v1	
Mammalia	Aotus_nancymaae	ncbi_1.0_April_2015	
Mammalia	Bos_gaurus	Bos_gau	
Mammalia	Equus_quagga	Equ_qua	
Mammalia	Capra_sibirica	ASM318261v1	
Mammalia	Octomys_mimax	Oct_mimax_AO248_v1	
Mammalia	Manis_tricuspis	ManTri_v1_BIUU	
Mammalia	Jaculus_jaculus	broad_JacJac1.0	
Mammalia	Prionailurus_bengalensis_euptilurus	v01	
Mammalia	Giraffa_camelopardalis_tippelskirchi	ASM165123v1	
Mammalia	Axis_porcinus	GCA_003798545	
Mammalia	Cynopterus_brachyotis	ASM979314v1	
Mammalia	Saiga_tatarica	SaiTat_v1	
Mammalia	Equus_caballus_standardbred	Henan_EquCab2_17Aug	
Mammalia	Uropsilus_gracilis	UroGra_v1_BIUU	
Mammalia	Indri_indri	IndInd_v1_BIUU	
Mammalia	Phascolarctos_cinereus	phaCin_unsw_v4.1	
Mammalia	Zapus_hudsonius	ZapHud_v1_BIUU	
Mammalia	Spilogale_interrupta	Spi_int	
Mammalia	Delphinapterus_leucas	ASM228892v2	
Mammalia	Macaca_fascicularis	5.0	
Mammalia	Ovis_aries	ensembl_79_Oar_v3.1	
Mammalia	Leopardus_geoffroyi	Leo_geo	
Mammalia	Echinops_telfairi	goldenpath_echTel2	
Mammalia	Moschus_berezovskii	FMD	
Mammalia	Trichechus_manatus	goldenpath_triMan1	
Mammalia	Mormoops_blainvillei	MorMeg_v1	
Mammalia	Nycticeius_humeralis	NycHum_v1_BIUU	
Mammalia	Myrmecophaga_tridactyla	MyrTri_v1_BIUU	
Mammalia	Condylura_cristata	broad_1.0_july_2012	
Mammalia	Manis_javanica	ManJav1.0	
Mammalia	Pygathrix_nemaeus	PygNem_v1_BIUU	
Mammalia	Equus_ferus_thistlecreek	Henan_EquCab2_Jun15	
Mammalia	Acomys_russatus	Aco_rus	
Mammalia	Eschrichtius_robustus	ASM218922v1	
Mammalia	Balaenoptera_acutorostrata	goldenpath_balAcu1	
Mammalia	Mus_pahari	REL-1509-EiJ	
Mammalia	Sousa_chinensis	ASM352133v1	
Mammalia	Pongo_abelii	goldenpath_ponAbe2	
Mammalia	Sylvicapra_grimmia	CMD	
Mammalia	Hemitragus_hylocrius	HemHyl_v1	
Mammalia	Mastomys_coucha	UCSF_Mcou_1	
Mammalia	Daubentonia_madagascariensis	DauMad_v1_BIUU	
Mammalia	Ornithorhynchus_anatinus	goldenpath_ornAna1	
