species_group	species	assembly_version
Actinopteri	Perca_flavescens	PFLA_1.0
Actinopteri	Tenualosa_ilisha	ASM365119v1
Actinopteri	Ictalurus_punctatus	IpCoco_1.2
Actinopteri	Hypophthalmichthys_nobilis	HypNob1.0
Actinopteri	Collichthys_lucidus	ASM411991v1
Actinopteri	Salvelinus_alpinus	ASM291031v2
Actinopteri	Anguilla_anguilla	v1
Actinopteri	Scleropages_formosus	aro_v2
Actinopteri	Boreogadus_saida	ASM90030251v1
Actinopteri	Thunnus_albacares	ASM90030262v1
Actinopteri	Sebastes_steindachneri	ASM191078v1
Actinopteri	Acipenser_ruthenus	ASM411989v1
Actinopteri	Cynoglossus_semilaevis	cse_v1.0
Actinopteri	Phycis_blennoides	ASM90030231v1
Actinopteri	Simochromis_diagramma	fSimDia1.1
Actinopteri	Sardina_pilchardus	1_UP_Spi
Actinopteri	Miichthys_miiuy	ASM159371v1
Actinopteri	Sinocyclocheilus_rhinocerous	SAMN03320098_v1
Actinopteri	Micropterus_floridanus	ASM259238v1
Actinopteri	Holocentrus_rufus	ASM90030261v1
Actinopteri	Oreochromis_niloticus	goldenpath_oreNil2_2011_01
Actinopteri	Pimephales_promelas	GCA_000700825.1
Actinopteri	Chatrabus_melanurus	ASM90030263v1
Actinopteri	Trachinotus_ovatus	golden_pompano_genome_number_1
Actinopteri	Poecilia_reticulata	v1.0
Actinopteri	Periophthalmus_magnuspinnatus	GCA_000787105
Actinopteri	Astatotilapia_calliptera	fAstCal1.2
Actinopteri	Amphiprion_frenatus	AmpOce1.0
Actinopteri	Sardina_pilchardus	SP_G
Actinopteri	Xiphophorus_maculatus	ncbi_100_2013
Actinopteri	Epinephelus_lanceolatus	ASM528154v1
Actinopteri	Labeotropheus_fuelleborni	v1
Actinopteri	Mola_mola	ASM169857v1
Actinopteri	Oncorhynchus_kisutch	Okis_V1
Actinopteri	Clupea_harengus	ncbi_7950_2015
Actinopteri	Lamprogrammus_exutus	ASM90031255v1
Actinopteri	Reinhardtius_hippoglossoides	ASM618292v1
Actinopteri	Amphilophus_citrinellus	Midas_v5
Actinopteri	Lates_calcarifer	ASM164080v1
Actinopteri	Gadiculus_argenteus	ASM90030259v1
Actinopteri	Mastacembelus_armatus	GCA_900324485
Actinopteri	Coryphaenoides_rupestris	ASM289596v1
Actinopteri	Hypophthalmichthys_molitrix	HypMol1.0
Actinopteri	Anoplopoma_fimbria	AnoFim1.0
Actinopteri	Sebastes_nigrocinctus	Snig1.0
Actinopteri	Takifugu_bimaculatus	ASM402614v1
Actinopteri	Bregmaceros_cantori	ASM90030239v1
Actinopteri	Haplochromis_burtoni	1
Actinopteri	Seriola_lalandi_dorsalis	Sedor1
Actinopteri	Thunnus_thynnus	GBYP_Tthy_1.0
Actinopteri	Amphiprion_ocellaris	AmpOce1.0
Actinopteri	Phycis_phycis	ASM90030233v1
Actinopteri	Stegastes_partitus	1.0.2
Actinopteri	Thymallus_thymallus	ASM434828v1
Actinopteri	Cyprinodon_nevadensis_pectoralis	v1
Actinopteri	Pygocentrus_nattereri	1.0.2
Actinopteri	Astyanax_mexicanus	ensembl_79_AstMex102
Actinopteri	Hucho_hucho	ASM331708v1
Actinopteri	Betta_splendens	GCA_003650155
Actinopteri	Xiphophorus_couchianus	4.0.1
Actinopteri	Amphiprion_percula	Nemo_v1
Actinopteri	Pundamilia_nyererei	PunNye1.0
