species_group	species	assembly_version
Amphibia	Notophthalmus_viridescens	sung-2015	
Amphibia	Rhinella_marina	GCA_900303285	
Amphibia	Bufo_gargarizans	Buf_gar	
Amphibia	Eleutherodactylus_coqui	Ele_coq	
Amphibia	Rana_temporaria	Ran_tem	
Amphibia	Nanorana_parkeri	GCA_000935625.1	
Amphibia	Rana_catesbeiana	RCv2.1	
Amphibia	Pyxicephalus_adspersus	Pads_1.0	
Amphibia	Spea_multiplicata	usc_Smult_1.0	
Amphibia	Pipa_carvalhoi	Pip_car	
Amphibia	Triturus_carnifex	sung_2016	
Amphibia	Hymenochirus_boettgeri	Hym_boe	
Amphibia	Xenopus_tropicalis	v7_2015-06-19	
Amphibia	Bombina_variegata_variegata	Bom_var	
Amphibia	Ranitomeya_imitator	Ran_imi	
Amphibia	Hynobius_chinensis	sung-2015	
Amphibia	Ambystoma_mexicanum	sung-2015	
Amphibia	Leptobrachium_leishanense	ASM966780v1	
Amphibia	Pipa_parva	Pip_par	
Amphibia	Leptobrachium_ailaonicum	Lep_ail	
Amphibia	Engystomops_pustulosus	Eng_pus	
Amphibia	Xenopus_laevis	Xen_lae	
Amphibia	Rhinatrema_bivittatum	Rhi_biv	
Amphibia	Cynops_pyrrhogaster	sung-2016	
Amphibia	Platyplectrum_ornatum	Pla_orn	
Amphibia	Oophaga_pumilio	UCB_Opum_1.0	
Amphibia	Euproctus_asper	sung-2015	
Amphibia	Lithobates_catesbeianus	Lit_cat	
Amphibia	Microcaecilia_unicolor	aMicUni1.1	
Amphibia	Geotrypetes_seraphini	Geo_ser	
Amphibia	Bufo_bufo	Buf_buf	
Amphibia	Phrynoglossus_myanhessei	Phr_mya	
Amphibia	Limnodynastes_dumerilii	BGI_Ldum_1.0	
Amphibia	Glandirana_rugosa	Gla_rug	
